Ticker	longName	comment
CINF.TO	CI Global Infrastructure Private Pool - ETF C$ Series	Bien équilibré peu de RMS
BKCL.TO	Global X Enhanced Equal Weight Canadian Banks Covered Call ETF	--None--
DMEC.TO	Desjardins Canadian Equity Index ETF	--None--
DRFC.TO	Desjardins RI Canada Multifactor - Net-Zero Emissions Pathway ETF	--None--
EBNK.TO	Evolve European Banks Enhanced Yield ETF Hedged CAD	--None--
ESGA.TO	BMO MSCI Canada Selection Equity Index ETF	--None--
FCUV.TO	Fidelity U.S. Value ETF	Excellente croissance, peu de RMS
HURA.TO	Global X Uranium Index ETF	--None--
VFV.TO	Vanguard S&P 500 Index ETF	--None--
XUSC.TO	iShares S&P 500 3% Capped Index ETF CAD Units	--None--
ZEA.TO	BMO MSCI EAFE Index ETF	--None--
ZGLD.TO	BMO Gold Bullion ETF (CAD Units)	--None--
ZGQ.TO	BMO MSCI All Country World High Quality Index ETF	--None--
ZID.TO	BMO MSCI India Selection Equity Index ETF	--None--
ZLB.TO	BMO Low Volatility Canadian Equity ETF	--None--
ZLU.TO	BMO Low Volatility US Equity ETF (CAD)	--None--
ZQQ.TO	BMO Nasdaq 100 Equity Hedged to CAD Index ETF	--None--
ZUQ.TO	BMO MSCI USA High Quality Index ETF	--None--
ZWE.TO	BMO Europe High Dividend Covered Call Hedged to CAD ETF	--None--
ZWG.TO	BMO Global High Dividend Covered Call ETF	--None--
ZZZD.TO	BMO Tactical Dividend ETF Fund ETF	--None--
ZXM.TO	CI Morningstar International Momentum Index ETF Common Units (CAD Hedged)	--None--
ZWU.TO	BMO Covered Call Utilities ETF	--None--
ZWT.TO	BMO Covered Call Technology ETF	--None--
ZWS.TO	BMO US High Dividend Covered Call Hedged to CAD ETF	--None--
ZWQT.TO	BMO Global Enhanced Income Fund Series ETF	--None--
ZWP.TO	BMO Europe High Dividend Covered Call ETF	--None--
ZWK.TO	BMO Covered Call US Banks ETF	--None--
ZWHC.TO	BMO Covered Call Health Care ETF	--None--
ZWH.TO	BMO US High Dividend Covered Call ETF	FAIL: no data
ZWEN.TO	BMO Covered Call Energy ETF	FAIL: no data
ZWC.TO	BMO CA High Dividend Covered Call ETF	FAIL: no data
ZWB.TO	BMO Covered Call Canadian Banks ETF	FAIL: no data
ZWA.TO	BMO Covered Call Dow Jones Industrial Average Hedged to CAD ETF	FAIL: no data
ZVU.TO	BMO MSCI USA Value Index ETF	FAIL: no data
ZVC.TO	BMO MSCI Canada Value Index ETF	--None--
ZUT.TO	BMO Equal Weight Utilities Index ETF	--None--
ZUP.TO	BMO US Preferred Share Index ETF	--None--
ZUH.TO	BMO Equal Weight US Health Care Hedged to CAD Index ETF	--None--
ZUE.TO	BMO S&P 500 Hedged to CAD Index ETF	--None--
ZUD.TO	BMO US Dividend Hedged to CAD ETF	--None--
ZUCM.TO	BMO USD Cash Management ETF	--None--
ZUB.TO	BMO Equal Weight US Banks Hedged to CAD Index ETF	--None--
ZUAG.TO	BMO US Aggregate Bond Index ETF	--None--
ZTIP.TO	BMO Short-Term US TIPS Index ETF	--None--
ZSU.TO	BMO Short-Term US IG Corporate Bond Hedged to CAD Index ETF	--None--
ZST.TO	BMO Ultra Short-Term Bond ETF	FAIL: no data
ZSP.TO	BMO S&P 500 Index ETF (CAD)	FAIL: no data
ZSML.TO	BMO S&P US Small Cap Index ETF	--None--
ZSDB.TO	BMO Short-Term Discount Bond ETF	--None--
ZSB.TO	BMO Short-Term Bond Index ETF	--None--
ZRR.TO	BMO Real Return Bond Index ETF	--None--
ZRE.TO	BMO Equal Weight REITs Index ETF	--None--
ZQB.TO	BMO High Quality Corporate Bond Index ETF	--None--
ZPW.TO	BMO US Put Write ETF	--None--
ZPS.TO	BMO Short Provincial Bond Index ETF	--None--
ZPR.TO	BMO Laddered Preferred Share Index ETF	--None--
ZPL.TO	BMO Long Provincial Bond Index ETF	--None--
ZPH.TO	BMO US Put Write Hedged to CAD ETF	--None--
ZPAY.TO	BMO Premium Yield ETF	--None--
ZNQ.TO	BMO NASDAQ 100 Equity Index ETF	--None--
ZMU.TO	BMO Mid-Term US IG Corporate Bond Hedged to CAD Index ETF	--None--
ZMT.TO	BMO Equal Weight Global Base Metals Hedged to CAD Index ETF	--None--
ZMSB.TO	BMO Sustainable Global Multi-Sector Bond Fund Series ETF	--None--
ZMP.TO	BMO Mid Provincial Bond Index ETF	--None--
ZMMK.TO	BMO Money Market Fund ETF Series	--None--
ZMID.TO	BMO S&P US Mid Cap Index ETF	--None--
ZMI.TO	BMO Monthly Income ETF	--None--
ZMBS.TO	BMO Canadian MBS Index ETF	--None--
ZLSU.TO	BMO Long Short US Equity ETF	--None--
ZLSC.TO	BMO Long Short Canadian Equity ETF	--None--
ZLI.TO	BMO Low Volatility International Equity ETF	--None--
ZLH.TO	BMO Low Volatility US Equity Hedged to CAD ETF	--None--
ZLE.TO	BMO Low Volatility Emerging Markets Equity ETF	--None--
ZLD.TO	BMO Low Volatility International Equity Hedged to CAD ETF	--None--
ZLC.TO	BMO Long Corporate Bond Index ETF	--None--
ZJPN.TO	BMO Japan Index ETF	--None--
ZJO.TO	BMO Junior Oil Index ETF	FAIL: no data
ZJN.TO	BMO Junior Gas Index ETF	FAIL: no data
ZJK.TO	BMO High Yield US Corporate Bond Index ETF	--None--
ZJG.TO	BMO Junior Gold Index ETF	--None--
ZIU.TO	BMO S&P/TSX 60 Index ETF	--None--
ZIN.TO	BMO Equal Weight Industrials Index ETF	--None--
ZIC.TO	BMO Mid-Term US IG Corporate Bond Index ETF (CAD)	--None--
ZHY.TO	BMO High Yield US Corporate Bond Hedged to CAD Index ETF	--None--
ZHU.TO	BMO Equal Weight US Health Care Index ETF	--None--
ZHP.TO	BMO US Preferred Share Hedged to CAD Index ETF	--None--
